epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.914,0.87864,1.14149,0.94928,0.66623,0.69384,0.70102,0.55323,0.74164,0.76382,0.91061,0.000415778,0.000415778,0.000415778
2,524.363,0.76928,0.65148,0.91819,0.7454,0.74194,0.78703,0.64864,0.66354,0.59124,0.88944,0.000804974,0.000804974,0.000804974
3,780.493,0.74584,0.59436,0.91385,0.76418,0.72398,0.78761,0.63371,0.70355,0.61994,0.91055,0.00116667,0.00116667,0.00116667
4,1036.14,0.73135,0.56908,0.90977,0.7944,0.75728,0.8146,0.65925,0.67847,0.57572,0.9032,0.00112625,0.00112625,0.00112625
5,1293.21,0.71522,0.5472,0.90679,0.82219,0.77498,0.83593,0.69175,0.65078,0.53679,0.89834,0.001085,0.001085,0.001085
6,1548.9,0.69767,0.53013,0.90199,0.81914,0.77658,0.83412,0.69551,0.62056,0.50648,0.8893,0.00104375,0.00104375,0.00104375
7,1806.2,0.68321,0.51494,0.8982,0.83727,0.78301,0.84855,0.71009,0.63045,0.50731,0.89075,0.0010025,0.0010025,0.0010025
8,2060.77,0.67384,0.50459,0.89598,0.83758,0.78906,0.85329,0.72242,0.60701,0.48184,0.88404,0.00096125,0.00096125,0.00096125
9,2316.49,0.66713,0.49841,0.89452,0.83699,0.78707,0.85449,0.72497,0.59181,0.48003,0.8761,0.00092,0.00092,0.00092
10,2569.42,0.65721,0.48995,0.89131,0.85021,0.78239,0.85914,0.73207,0.58868,0.47194,0.876,0.00087875,0.00087875,0.00087875
11,2823.03,0.6472,0.4808,0.88879,0.85143,0.80628,0.86936,0.73768,0.58839,0.46235,0.87612,0.0008375,0.0008375,0.0008375
12,3075.29,0.64231,0.47529,0.88662,0.86345,0.79765,0.87322,0.7427,0.58065,0.46309,0.87876,0.00079625,0.00079625,0.00079625
13,3327.79,0.63592,0.47007,0.88379,0.87906,0.8101,0.88874,0.76072,0.57456,0.44778,0.87102,0.000755,0.000755,0.000755
14,3580.53,0.63208,0.46548,0.88284,0.86155,0.81604,0.8857,0.75961,0.5679,0.44564,0.86784,0.00071375,0.00071375,0.00071375
15,3836.34,0.626,0.4604,0.88145,0.87076,0.81928,0.89117,0.76818,0.56566,0.4378,0.86911,0.0006725,0.0006725,0.0006725
16,4092.14,0.62076,0.45519,0.8807,0.87849,0.81717,0.88983,0.76607,0.55986,0.43179,0.86574,0.00063125,0.00063125,0.00063125
17,4347.09,0.617,0.45115,0.87919,0.86664,0.82263,0.88984,0.77263,0.54896,0.43,0.86329,0.00059,0.00059,0.00059
18,4601.64,0.61252,0.44747,0.87815,0.88294,0.82059,0.89637,0.7728,0.55001,0.42396,0.86379,0.00054875,0.00054875,0.00054875
19,4855.42,0.6073,0.44422,0.87643,0.88934,0.81302,0.90057,0.78032,0.54602,0.41845,0.86128,0.0005075,0.0005075,0.0005075
20,5108.81,0.60223,0.43829,0.87548,0.89131,0.8259,0.90488,0.78219,0.53885,0.41696,0.859,0.00046625,0.00046625,0.00046625
21,5357.64,0.58429,0.42222,0.86807,0.88131,0.835,0.90509,0.78514,0.54201,0.41003,0.85951,0.000425,0.000425,0.000425
22,5604.03,0.57263,0.41335,0.86487,0.88807,0.83431,0.90825,0.78897,0.54118,0.40694,0.85828,0.00038375,0.00038375,0.00038375
23,5846.05,0.56682,0.40808,0.86271,0.88654,0.84252,0.91167,0.79345,0.53541,0.40356,0.85783,0.0003425,0.0003425,0.0003425
24,6091.23,0.56075,0.40306,0.8603,0.89606,0.83858,0.91364,0.79696,0.52773,0.39923,0.85515,0.00030125,0.00030125,0.00030125
25,6337.31,0.5563,0.39824,0.8601,0.89514,0.84608,0.91859,0.80405,0.52615,0.39412,0.85432,0.00026,0.00026,0.00026
26,6582.27,0.55119,0.39333,0.8591,0.90212,0.84353,0.92015,0.80663,0.52334,0.39069,0.85386,0.00021875,0.00021875,0.00021875
27,6825.25,0.54513,0.38774,0.85669,0.89804,0.84779,0.92095,0.80694,0.52017,0.38721,0.85243,0.0001775,0.0001775,0.0001775
28,7067.4,0.54055,0.38322,0.85575,0.89803,0.8481,0.92108,0.80835,0.51821,0.38554,0.85231,0.00013625,0.00013625,0.00013625
29,7310.57,0.53512,0.37852,0.85511,0.90831,0.8441,0.92218,0.80931,0.51546,0.38382,0.85104,9.5e-05,9.5e-05,9.5e-05
30,7554.27,0.53151,0.37572,0.85348,0.90847,0.84389,0.92372,0.81223,0.51465,0.38195,0.85023,5.375e-05,5.375e-05,5.375e-05
